src,tgt,dist,src_lab,tgt_lab,isnbr,src_lab_,tgt_lab_,wts
214,577,156.95720654302593,26053,26043,FALSE,26043,26053,1
215,831,39.334850401173114,01095,01055,FALSE,01055,01095,1
215,397,54.08466198870363,01095,01043,FALSE,01043,01095,1
216,716,50.931448695973906,17053,17019,FALSE,17019,17053,1
217,402,176.09678486661858,06089,06115,FALSE,06089,06115,1
217,710,193.91208925658177,06089,06101,FALSE,06089,06101,1
218,574,47.92668150527572,22113,22045,FALSE,22045,22113,1
218,201,51.257434932479214,22113,22055,FALSE,22055,22113,1
219,508,56.71888505508774,22087,28045,FALSE,22087,28045,1
219,582,58.064338491207614,22087,28047,FALSE,22087,28047,1
220,327,38.437630958419085,21151,21067,FALSE,21067,21151,1
221,509,33.88956404303643,47009,47093,FALSE,47009,47093,1
221,773,53.599252042596504,47009,47001,FALSE,47001,47009,1
222,134,35.46406072865663,13143,13223,FALSE,13143,13223,1
223,813,105.77892190475202,06053,06087,FALSE,06053,06087,1
223,523,114.11349292875164,06053,06085,FALSE,06053,06085,1
224,463,51.8869477496767,37193,37097,FALSE,37097,37193,1
224,501,60.982247122313254,37193,37035,FALSE,37035,37193,1
225,579,50.70669748549901,29021,29047,FALSE,29021,29047,1
225,793,55.98456247528755,29021,20103,FALSE,20103,29021,1
226,254,37.99169495688939,19011,19113,FALSE,19011,19113,1
226,729,38.983503462074864,19011,19171,FALSE,19011,19171,1
227,476,51.99638895741332,27025,27163,FALSE,27025,27163,1
227,445,56.63206921545367,27025,27123,FALSE,27025,27123,1
228,635,48.205491789782826,29051,29027,FALSE,29027,29051,1
229,333,59.7597993505518,42009,42021,FALSE,42009,42021,1
229,744,72.83211619181233,42009,24043,FALSE,24043,42009,1
230,587,35.919198644725576,34009,34011,FALSE,34009,34011,1
230,858,46.40511342693142,34009,34001,FALSE,34001,34009,1
231,875,39.32839811757358,33005,50025,FALSE,33005,50025,1
232,606,143.16712742225428,04013,04025,FALSE,04013,04025,1
233,375,44.165345876422656,48251,48439,FALSE,48251,48439,1
233,428,53.475575071120815,48251,48139,FALSE,48139,48251,1
234,291,42.01125830908877,36113,36115,FALSE,36113,36115,1
235,732,33.38131362878771,13015,13057,FALSE,13015,13057,1
236,272,35.289213355857825,12069,12119,FALSE,12069,12119,1
237,436,39.50230110284843,24009,24041,FALSE,24009,24041,1
237,689,42.62699101040681,24009,24017,FALSE,24009,24017,1
238,849,84.71532958059184,27169,19005,FALSE,19005,27169,1
239,595,124.33512851585391,35043,35031,FALSE,35031,35043,1
239,490,158.80320773593564,35043,35045,FALSE,35043,35045,1
240,321,68.63150609011403,41043,41039,FALSE,41039,41043,1
241,497,45.64073150071088,40147,40113,FALSE,40113,40147,1
241,694,55.87496288167166,40147,20125,FALSE,20125,40147,1
242,417,40.400794803026784,55135,55087,FALSE,55087,55135,1
242,699,49.687282308883525,55135,55139,FALSE,55135,55139,1
243,571,80.90296858997226,01099,01129,FALSE,01099,01129,1
244,462,36.842684610806714,24019,24045,FALSE,24019,24045,1
244,436,37.271049450382314,24019,24041,FALSE,24019,24041,1
245,232,150.97100024672343,04019,04013,TRUE,04013,04019,1
246,342,106.59974710058474,48273,48489,FALSE,48273,48489,1
246,56,126.86816636267918,48273,48215,FALSE,48215,48273,1
247,871,41.68009759480148,12103,12057,FALSE,12057,12103,1
247,271,53.061858859613444,12103,12101,FALSE,12101,12103,1
248,253,82.12586822477552,08029,08045,FALSE,08029,08045,1
249,373,62.09285775548789,01093,28095,FALSE,01093,28095,1
250,423,40.741486378747574,48037,48067,FALSE,48037,48067,1
250,878,77.25946707344714,48037,05057,FALSE,05057,48037,1
251,771,120.18396999489316,49057,49051,FALSE,49051,49057,1
252,734,59.767172582647746,36019,50007,FALSE,36019,50007,1
