src,tgt,dist,src_lab,tgt_lab
152,270,41.30940568075668,09009,09001
152,287,56.52347466930244,09009,09005
153,279,35.72645284221637,17091,17197
155,379,48.88742454097509,28121,28049
155,420,41.66426964320085,28121,28089
156,354,33.21983451455203,18059,18145
156,362,38.458098495936795,18059,18095
156,364,31.289736282826297,18059,18097
159,274,34.78245658597319,26147,26099
161,236,25.104360513517932,13151,13247
161,357,30.177620678209216,13151,13217
161,375,25.640891123119115,13151,13035
162,178,39.35447187043256,26093,26161
162,228,49.46264261077152,26093,26049
162,343,43.63270238634696,26093,26125
163,234,75.92192346567454,08001,08123
163,383,25.549428994638358,08001,08005
164,189,48.72300411659465,42069,42089
164,329,42.65418250540794,42069,42079
166,311,44.02275313589269,12031,12019
169,272,33.240644501460054,12085,12111
170,228,56.31826598445819,26157,26049
170,288,53.04442044033705,26157,26145
171,190,39.330564165299776,22097,22077
171,211,56.16326443662852,22097,22009
171,391,51.85328262007857,22097,22001
172,182,68.22153476061929,53061,53029
172,229,88.01783716166477,53061,53007
172,267,62.96521502640994,53061,53033
172,384,48.88987001106599,53061,53057
173,252,97.29168611110836,53077,53005
175,307,57.56125894576928,39007,39055
176,177,84.81779354405818,48167,48201
176,294,53.515400009405376,48167,48039
177,294,76.76961567793226,48201,48039
177,405,50.22185910396859,48201,48339
178,343,58.990114963699085,26161,26125
181,187,54.59617877097363,39151,39099
181,323,49.675962913681985,39151,39029
181,392,37.05024948049768,39151,39153
182,384,73.34847395801906,53029,53057
183,293,41.60392694222378,42029,42091
183,309,30.58844563344802,42029,42045
183,395,43.287891174357576,42029,42071
185,352,33.06570179303687,12033,12113
186,213,66.19434487524994,48439,48139
186,298,50.69471504389698,48439,48121
186,334,47.949530346742655,48439,48113
187,323,26.78506326834625,39099,39029
188,313,29.933781048879705,17089,17043
188,373,42.823720689877455,17089,17111
189,218,35.08449805433377,42089,42025
189,322,33.79084476136309,42089,42095
189,329,55.73576086670191,42089,42079
190,211,55.609565348178045,22077,22009
190,363,39.168031866506354,22077,22121
191,212,34.09555207457561,13095,13321
191,412,32.326117291551526,13095,13177
192,223,50.715127485449976,23027,23011
193,303,27.269471945646178,36085,36081
193,315,17.962192467886197,36085,36047
194,219,34.96601067712006,45045,45083
194,376,50.30723752701315,45045,37089
197,261,56.327320922628935,42133,24025
197,327,52.92508577832531,42133,42041
197,395,42.92130291941465,42133,42071
198,219,52.75108533365716,37161,45083
198,300,42.78840648684071,37161,37023
198,376,51.32348909290598,37161,37089
199,268,29.36715396185783,13097,13121
199,331,31.98315940078091,13097,13067
200,336,32.02881174923842,22093,22095
200,351,70.66810835363191,22093,22057
200,389,23.196337417275156,22093,22005
201,381,38.12948141250778,01117,01073
203,310,57.88067879012012,36029,36063
204,216,63.22882281113058,45041,45085
204,318,51.87285699610574,45041,45061
205,236,34.100787879882795,13135,13247
205,268,44.94946264623074,13135,13121
205,387,31.065252214894084,13135,13117
206,367,43.31814123932802,51700,51800
207,257,50.89757000855041,22075,22051
207,380,92.45873896672231,22075,22071
208,249,45.343195053791085,37195,37101
208,301,39.290256898108915,37195,37191
209,211,53.87221871456864,22079,22009
210,220,38.39949075397307,27037,27123
210,232,43.01468120765927,27037,27163
210,346,49.48319666818949,27037,27053
212,222,40.973337921261056,13321,13071
212,412,40.83335874274,13321,13177
213,334,46.746134556224156,48139,48113
216,318,29.549621579112763,45085,45061
216,361,49.18220957721184,45085,45079
217,415,46.28568104051344,48491,48453
218,321,35.16312478779642,42025,42077
218,322,38.18112464905814,42025,42095
218,329,36.31412508823374,42025,42079
220,232,16.684448463674535,27123,27163
220,346,29.517459729760414,27123,27053
221,284,76.29213583114785,12071,12021
221,418,38.2025592513044,12071,12015
222,347,38.872704818889765,13071,13275
225,401,42.17442857135266,16001,16027
227,384,38.87683650285598,53073,53057
228,288,44.36069540732027,26049,26145
228,343,47.936661522916,26049,26125
229,267,99.8520973214614,53007,53033
230,406,52.40168788154379,36105,36071
231,249,48.43584759316165,37085,37101
234,241,93.81087045386685,08123,08069
235,314,32.15896343106964,47187,47037
236,357,19.61386998718497,13247,13217
238,242,59.48022558982945,22031,22017
239,308,98.00458424316076,06019,06107
242,302,27.54473367255489,22017,22015
243,362,28.28478131543812,18035,18095
245,258,49.982556392844096,22117,22103
246,386,36.67095935118549,13093,13153
247,397,50.81945044936146,55101,55133
249,301,37.00663877051227,37101,37191
250,276,51.247566015040164,06085,06001
250,371,64.01704956182688,06085,06081
253,403,17.509301633897252,29189,29510
255,256,68.4791377449165,13069,13299
257,336,83.6710696325479,22051,22095
257,351,34.73030067829932,22051,22057
257,380,61.95339464685749,22051,22071
257,400,54.472487580612864,22051,22089
258,336,59.6111799586904,22103,22095
258,380,39.68789872799551,22103,22071
260,372,49.58276950731082,39093,39035
260,409,42.828945987478384,39093,39103
261,395,56.264605957854,24025,42071
262,358,36.87810974881179,22033,22063
262,363,22.57906950048425,22033,22121
262,389,41.334159011770645,22033,22005
263,378,83.35999553859672,26081,26121
265,324,55.65727852643579,12105,12097
265,416,67.29958090535345,12105,12057
267,394,54.448144425118855,53033,53053
268,331,19.325759710006704,13121,13067
268,348,50.51791751477397,13121,13057
268,387,57.68426225727744,13121,13117
270,287,63.71642107534132,09001,09005
271,276,64.72650395411607,06077,06001
272,377,37.93724363255856,12111,12061
274,343,38.67368523168958,26099,26125
276,371,48.02897880397019,06001,06081
277,349,36.718904942433824,22045,22101
279,313,45.7579846917718,17197,17043
280,364,41.17143424450326,18011,18097
280,399,31.542446028442594,18011,18063
281,286,44.15420082444913,28047,28059
283,326,52.278579796710396,36083,36021
289,298,50.41697936218586,48085,48121
289,334,51.03199287614166,48085,48113
290,418,54.659036307433894,12115,12015
292,411,50.0014402222764,45051,37047
293,309,32.70581128623909,42091,42045
293,321,48.66969082252438,42091,42077
295,374,37.91677217319498,39113,39165
297,349,68.4160199080029,22109,22101
297,351,46.88412420967704,22109,22057
298,334,58.269786658723035,48121,48113
299,302,67.77301899697068,22013,22015
303,315,9.486808523208683,36081,36047
303,325,17.382373317755746,36081,36061
303,408,21.600320476284327,36081,36005
307,372,36.446563511328236,39055,39035
307,392,51.70113374764995,39055,39153
312,374,41.031465698299776,39061,39165
315,325,15.83082754245605,36047,36061
321,322,28.416795873317813,42077,42095
324,356,50.589043831125004,12097,12009
324,377,68.32099808074815,12097,12061
325,408,12.711591191473179,36061,36005
327,328,47.33906797447136,42041,42055
330,373,55.37131344702977,17097,17111
331,348,35.05416057456211,13067,13057
336,351,73.09794675100454,22095,22057
336,358,40.01939782870076,22095,22063
336,389,41.11095565429059,22095,22005
336,400,29.438250146532667,22095,22089
340,385,57.88008964762149,28099,28075
342,417,46.95299746092287,42003,42129
344,413,38.044227513737695,41071,41067
345,395,40.91725161266532,42075,42071
348,387,32.03021737370653,13057,13117
351,400,46.14319718455199,22057,22089
354,364,41.155601784932756,18145,18097
356,377,67.60356822844031,12009,12061
357,375,30.8165171575967,13217,13035
358,389,31.50042605932211,22063,22005
360,368,65.193097728841,08035,08041
360,383,62.131726787595824,08035,08005
364,399,32.00932454350186,18097,18063
365,386,39.092837067297545,13021,13153
366,406,36.23284143680696,36087,36071
372,392,48.522031131806564,39035,39153
372,409,54.65530828328789,39035,39103
379,420,57.47660254447895,28049,28089
392,409,30.5681469618464,39153,39103
398,407,41.650432272871704,25021,25023
